id,concept,on_lists,udb_param,udb_relationship,james_name,james_domain,james_source,ishaan_name,ishaan_domain,ishaan_source,ishaan_class,match_basis,review_status,confidence,notes_errors,james_section,james_chapter,james_granularity,james_reg_name,james_field_name,james_long_name,james_description,james_type,james_width,james_range,james_array,james_func_of_field,james_note
P021,"Which standard interrupt types (SEI/STI/SSI/LCOFI) are implemented, else pending/enable bits read-only 0",both,,,"SEI_INTR_IMPL, STI_INTR_IMPL, SSI_INTR_IMPL, LCOFI_INTR_IMPL","{true, false}",SEI_INTR_IMPL | STI_INTR_IMPL | SSI_INTR_IMPL | LCOFI_INTR_IMPL,STANDARD_INTERRUPT_SUPPORT,"per bit: {read-write, read-only-0}",norm:std_super_intr_impl supervisor.adoc:465,NORM_CSR_RW,concept,expert-confirmed (Allen Baum + Umer),,"He enumerates one parameter per standard interrupt type; ours is the single umbrella sentence naming all four. Anchor `norm:std_super_intr_impl` has no normative rule entry. His `SEI_INTR_IMPL` cites impl-def SEI_INTR_IMPL with no matching normative rule in the pinned manual, so its spec text could not be checked. His `STI_INTR_IMPL` cites impl-def STI_INTR_IMPL with no matching normative rule in the pinned manual, so its spec text could not be checked. His `SSI_INTR_IMPL` cites impl-def SSI_INTR_IMPL with no matching normative rule in the pinned manual, so its spec text could not be checked. His `LCOFI_INTR_IMPL` cites impl-def LCOFI_INTR_IMPL with no matching normative rule in the pinned manual, so its spec text could not be checked.",parameter_definitions,Supervisor Mode,n/a,,,SEI_INTR_IMPL-TBD | STI_INTR_IMPL-TBD | SSI_INTR_IMPL-TBD | LCOFI_INTR_IMPL-TBD,Is the SEI interrupt implemented? | Is the STI interrupt implemented? | Is the SSI interrupt implemented? | Is the LCOFI interrupt implemented?,boolean,,,,,
P022,Whether vsstatus.UBE is a read-only copy of hstatus.VSBE,both,,,VSSTATUS_UBE,"{true, false}",VSSTATUS_UBE,VSSTATUS_UBE_PARAM,"{read-write, read-only-0}",norm:vsstatus_ube hypervisor.adoc:1224,NORM_CSR_RW,tag,expert-confirmed (Allen Baum + Umer),,,parameter_definitions,H Extension,n/a,,,VSSTATUS_UBE-TBD,Is the `vstatus.UBE` a read-only copy of `hstatus.VSBE`? [%autowidth] !=== ! Value ! Definition ! False ! Not a read-only copy of `hstatus.VSBE` ! True ! Is a read-only copy of `hstatus.VSBE` !===,boolean,,,,,
P023,"Whether hstatus.VSXL is read-only, forcing VSXLEN=HSXLEN",both,,,hstatus.VSXL,per bit: constant mask,HSTATUS_VSXL_64_WARL; VSXL_RO,VSXL_RO_PARAM,"{read-write, read-only-0}",norm:vsxl_ro hypervisor.adoc:227,NORM_CSR_RW,tag,expert-confirmed (Allen Baum + Umer),,,csr_definitions,H Extension,field-level,hstatus,VSXL,,,ConstMask,,,,,
P024,Whether WFI always raises a virtual-instruction exception in VS-mode when VTW=1,both,,,VTW_VIRTINSTR,"{true, false}",VTW_VIRTINSTR,VTW_VIRTINSTR_PARAM,"{true, false}",norm:vtw_virtinstr hypervisor.adoc:245,NORM_DIRECT,tag,expert-confirmed (Allen Baum + Umer),,,parameter_definitions,H Extension,n/a,,,VTW_VIRTINSTR-TBD,,boolean,,,,,
P025,Whether WFI always raises an illegal-instruction exception below M-mode when TW=1,both,,,MSTATUS_TW_ALWAYS_ILLEGAL,"{true, false}",MSTATUS_TW_ALWAYS_ILLEGAL,WFI_TW_ALWAYS_ILLEGAL,"{true, false}",norm:mstatus_tw_always_illegal machine.adoc:758,NORM_DIRECT,tag,expert-confirmed (Allen Baum + Umer),,,parameter_definitions,Machine Mode,n/a,,,MSTATUS_TW_ALWAYS_ILLEGAL-TBD,"Does the implementation have WFI always raise an illegal-instruction exception in modes less privileged than M when TW=1, even if there are pending globally-disabled interrupts when the instruction is executed?",boolean,,,,,
P026,Whether xRET clears an outstanding LR reservation,both,,,"MRET_CLR_LR_RESV, SRET_CLR_LR_RESV","{true, false}",MRET_CLR_LR_RESV | SRET_CLR_LR_RESV,XRET_CLEARS_LR_RESERVATION,"{true, false}",norm:xret_clr_lr_resv machine.adoc:2665,NORM_DIRECT,concept,expert-confirmed (Allen Baum + Umer),,"He splits the `__x__RET` rule into MRET and SRET variants. Anchor `norm:xret_clr_lr_resv` has no normative rule entry. His `MRET_CLR_LR_RESV` cites impl-def MRET_CLR_LR_RESV with no matching normative rule in the pinned manual, so its spec text could not be checked. His `SRET_CLR_LR_RESV` cites impl-def SRET_CLR_LR_RESV with no matching normative rule in the pinned manual, so its spec text could not be checked.",parameter_definitions,Machine Mode,n/a,,,MRET_CLR_LR_RESV-TBD | SRET_CLR_LR_RESV-TBD,,boolean,,,,,
P027,"Whether ctrtarget.MISP is implemented, else read-only 0",both (arguable),,,ctrtarget,TBD,CTRTARGET_WARL,CTRTARGET_MISP_IMPLEMENTED,"{read-write, read-only-0}",norm:ctrtarget_misp smctr.adoc:319,NORM_CSR_RW,arguable,expert-confirmed (Allen Baum + Umer),,"MISP is verified to be a field of `ctrtarget` (section at smctr.adoc:314, bitfield at :331), so the register is right. But his entry is a register-level WARL umbrella and says nothing about the optional MISP bit being read-only 0 when unimplemented. Rule for `norm:ctrtarget_misp` is not marked `impl-def-behavior: true` in the manual.",csr_definitions,SmCtr (Ctrl Xfer Records),register-level,ctrtarget,,,,Other,,,,,
P028,Whether a misconfigured HPM counter returns a constant value,both (arguable),,,HPM_READ_BEHAVIOR,"{AlwaysValue, AlwaysIllegalInstExc, Other}",HPM_PLATFORM_SPECIFIC_IMPL; HPM_UNIMPLEMENTED_COUNTER_ACCESS,HPM_MISCONFIGURED_BEHAVIOR,"{true, false}",norm:hpm_misconfigured_event_behavior counters.adoc:26,NORM_DIRECT,arguable,expert-confirmed (Allen Baum + Umer),,"His `HPM_READ_BEHAVIOR` draws on `HPM_PLATFORM_SPECIFIC_IMPL` and `HPM_UNIMPLEMENTED_COUNTER_ACCESS`. Ours is misconfigured *event selection*, which is a different axis from counter read access; whether his entry is meant to span it is unclear. Rule for `norm:hpm_misconfigured_event_behavior` is not marked `impl-def-behavior: true` in the manual.",parameter_definitions,Counters,n/a,,,Performance Counter Read Behavior,Defines the behavior when a particular HPM counter is read. [%autowidth] !=== ! Value ! Definition ! AlwaysValue ! Implementation always returns some value when read ! AlwaysIllegalInstExc ! Implementation always raises an illegal instruction exception when read ! Other ! Sometimes implementation returns a value or raises an illegal instruction exception !===,"AlwaysValue, AlwaysIllegalInstExc, Other",,,"3, 31",,
P029,Whether mstateen bit 63 is read-only zero (conditional on H absent and sstateen all read-only zero),both (arguable),,,mstateen0/mstateen1/mstateen2/mstateen3,per bit: constant mask,STATEEN_WARL_ACCESS,MSTATEEN_BIT63_TYPE,"{read-write, read-only-0}",norm:mstateen_bit_63_roz smstateen.adoc:178,NORM_CSR_RW,arguable,expert-confirmed (Allen Baum + Umer),,"He has one `ConstMask` entry covering all four `mstateen` registers, which arguably subsumes bit 63; it does not carry the condition (hypervisor absent and matching `sstateen` all read-only zero) that makes ours specific. Resolved in review: The mentor asked whether this is genuinely new ('seems to have a tag -- not in UDB?'). Answered: it is new. The spec tag does exist ([#norm:mstateen-bit-63_roz], smstateen.adoc:175), but UDB defines only six MSTATEEN_*_TYPE parameters (ENVCFG/IMSIC/AIA/CONTEXT/CSRIND/JVT) and none for bit 63. Tagged in the spec does not mean present in UDB. Rule for `norm:mstateen_bit_63_roz` is not marked `impl-def-behavior: true` in the manual.",csr_definitions,State Enable Extension,register-level,mstateen0/mstateen1/mstateen2/mstateen3,,,,ConstMask,,,,,
P030,Whether the misaligned atomicity granule PMA relaxes the Zalasr alignment requirement,both (arguable),MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE,flagged-overlap,"PMA_MAG_OP_LDST, PMA_MAG_EXC","{true, false}",PMA_MAG_OP_LDST | PMA_MAG_EXC,ZALASR_MISALIGNED_ATOMICITY_GRANULE,"{true, false}",norm:zalasr_misaligned_pma_relax zalasr.adoc:27,NORM_DIRECT,arguable,"flagged, needs ruling",,"He has misaligned-atomicity-granule PMA parameters in `machine.yaml`. Ours is the Zalasr-specific relaxation referring to that same PMA. Already flagged separately as overlapping UDB's `MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE`. Overlaps existing UDB MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE. The Zalasr sentence points at the misaligned-atomicity-granule PMA rather than defining it, which reads like the 'clarification referencing a parameter defined elsewhere' exclusion. Needs a ruling. Rule for `norm:zalasr_misaligned_pma_relax` is not marked `impl-def-behavior: true` in the manual.",parameter_definitions,Machine Mode,n/a,,,PMA_MAG_OP_LDST-TBD | PMA_MAG_EXC-TBD,,boolean,,,,,
P031,"Which CSRs, if any, the platform defines as strongly ordered",ishaan,,,,,,CSR_STRONGLY_ORDERED,subset of the implemented CSRs (possibly empty),norm:csr_strongly_ordered zicsr.adoc:244,NORM_DIRECT,n/a,expert-confirmed (Allen Baum + Umer),,Rule for `norm:csr_strongly_ordered` is not marked `impl-def-behavior: true` in the manual.,,,,,,,,,,,,,
P032,"Which fields of ctrdata are implemented, else read-only 0",ishaan,,,,,,CTR_CTRDATA_TYPE_IMPLEMENTED,"{read-write, read-only-0}",norm:ctrdata_sz_acc smctr.adoc:339,NORM_CSR_RW,n/a,expert-confirmed (Allen Baum + Umer),,Nearest entry of his: He has `ctrsource` and `ctrtarget` as WARL registers but no `ctrdata` register entry at all; his only `ctrdata` reference is the cycle-count field. Gap in his own CSR coverage. Rule for `norm:ctrdata_sz_acc` is not marked `impl-def-behavior: true` in the manual.,,,,,,,,,,,,,
P033,Whether hgatp.PPN[1:0] are read-only zero,ishaan,,,,,,HGATP_PPN_LOWER_BITS_RO,"{read-write, read-only-0}",norm:hgatp_ppn_op hypervisor.adoc:1083,NORM_CSR_RW,n/a,expert-confirmed (Allen Baum + Umer),,Rule for `norm:hgatp_ppn_op` is not marked `impl-def-behavior: true` in the manual.,,,,,,,,,,,,,
P034,"Whether mseccfg [s,u]seed are writable or a read-only constant 0",ishaan,,,,,,MSECCFG_SEED_BITS_RW,"{read-write, read-only-0}",(untagged) scalar-crypto.adoc:3794,NORM_CSR_RW,n/a,expert-confirmed (Allen Baum + Umer),,"Nearest entry of his: He has `MSECCFG_USEED_SSEED_RST`, which is the *reset value* of the seed bits. Ours is whether they are writable or a read-only constant zero -- a different axis. Sail treats these as two settings too (`Zkr.sseed_reset_value` vs `Zkr.sseed_read_only_zero`). No `[#norm:]` anchor in the manual for this text.",,,,,,,,,,,,,
P035,Whether senvcfg.FIOM is read-only zero when satp.MODE is read-only zero,ishaan,,,,,,SENVCFG_FIOM_ACCESS,"{read-write, read-only-0}",norm:senvcfg_fiom_acc supervisor.adoc:841,NORM_CSR_RW,n/a,expert-confirmed (Allen Baum + Umer),,"Nearest entry of his: He has the M-mode sibling `MENVCFG_FIOM_RDONLY0_OK` but not the S-mode one; his only `senvcfg` entry is CBIE. Textbook per-CSR replication gap. Note Jordan's mapping shows UDB has no FIOM writability parameter either, while Sail does (`base.writable_fiom`), so this is a gap in two of the three lists. Rule for `norm:senvcfg_fiom_acc` is not marked `impl-def-behavior: true` in the manual.",,,,,,,,,,,,,
P036,The supported value range of siselect (0..0xFFF minimum),ishaan,,,,,,SISELECT_WIDTH,"supported range 0..N, N >= 0xFFF",norm:siselect_min_range indirect-csr.adoc:148,NORM_CSR_WARL,n/a,expert-confirmed (Allen Baum + Umer),,Nearest entry of his: He has the `miselect` sibling but not `siselect`. Rule for `norm:siselect_min_range` is not marked `impl-def-behavior: true` in the manual.,,,,,,,,,,,,,
P037,Whether an implicit state update blocked by a stateen CSR raises an illegal-instruction exception,ishaan,,,,,,STATEEN_IMPLICIT_UPDATE_EXCEPTION,"{true, false}",norm:stateen_implicit_state_update smstateen.adoc:101,NORM_DIRECT,n/a,expert-confirmed (Allen Baum + Umer),,Rule for `norm:stateen_implicit_state_update` is not marked `impl-def-behavior: true` in the manual.,,,,,,,,,,,,,
P038,The supported value range of vsiselect (0..0xFFF minimum),ishaan,,,,,,VSISELECT_WIDTH,"supported range 0..N, N >= 0xFFF",norm:vsiselect_min_range indirect-csr.adoc:239,NORM_CSR_WARL,n/a,expert-confirmed (Allen Baum + Umer),,Nearest entry of his: He has the `miselect` sibling but not `vsiselect`. Rule for `norm:vsiselect_min_range` is not marked `impl-def-behavior: true` in the manual.,,,,,,,,,,,,,
P039,"When a critical error is detected, what does the implementation do?",james,,,CRITICAL_ERROR,"{ResetHart, ResetPlatform, Other}",CRITICAL_ERROR,,,,,n/a,unreviewed (his individual draft),,UDB check: Critical-error signalling behaviour. UDB has no equivalent. Flagged by our INCLUSION_CRITERIA rule 1 on `CRITICAL_ERROR`: tagged text sits in a NOTE/TIP/WARNING block.,parameter_definitions,Machine Mode,n/a,,,CRITICAL_ERROR-TBD,"When a critical error is detected, what does the implementation do? [%autowidth] !=== ! Value ! Definition ! ResetHart ! The implementation resets the current hart ! ResetPlatform ! The implementation resets all the harts in the entire platform ! Other ! The implementation takes some other action !===","ResetHart, ResetPlatform, Other",,,,,
P040,HS-mode XLEN.,james,SXLEN,partial,HSXLEN,"{32, 64}",HSXLEN,,,,,n/a,unreviewed (his individual draft),,"UDB check: UDB models SXLEN, and separately VSXLEN/VUXLEN, without a distinct HSXLEN.",parameter_definitions,H Extension,n/a,,,Effective XLEN in HS-mode,,"32, 64",,,,,
P041,Can interrupts be taken during the execution of a push/pop instruction?,james,,,INTERRUPTS_ALLOWED_IN_PUSHPOP,"{true, false}",INTERRUPTS_ALLOWED_IN_PUSHPOP,,,,,n/a,unreviewed (his individual draft),,"UDB check: Whether interrupts may be taken during Zcmp push/pop sequences. UDB has no equivalent. Our pipeline found this and held it back under rule 1, because the sentence sits in a NOTE block. He includes it. Flagged by our INCLUSION_CRITERIA rule 1 on `INTERRUPTS_ALLOWED_IN_PUSHPOP`: tagged text sits in a NOTE/TIP/WARNING block.",parameter_definitions,Zc Extension,n/a,,,INTERRUPTS_ALLOWED_IN_PUSHPOP-TBD,Can interrupts be taken during the execution of a push/pop instruction?,boolean,,,,,
P042,Whether the mcause reset value may alias a defined cause.,james,,,MCAUSE_RST_ALIAS_OK,"{true, false}",MCAUSE_RST_ALIAS_OK,,,,,n/a,unreviewed (his individual draft),,UDB check: UDB models no CSR reset values. Flagged by our INCLUSION_CRITERIA rule 1 on `MCAUSE_RST_ALIAS_OK`: tagged text sits in a NOTE/TIP/WARNING block.,parameter_definitions,Machine Mode,n/a,,,MCAUSE_RST_ALIAS_OK-TBD,,boolean,,,,,
P043,Reset value of mcause.,james,,,MCAUSE_RST_VAL,TBD,MCAUSE_RST_VAL,,,,,n/a,unreviewed (his individual draft),,UDB check: UDB models no CSR reset values.,parameter_definitions,Machine Mode,n/a,,,MCAUSE_RST_VAL-TBD,,uint,MXLEN,,,,
P044,`mepc` can hold all valid virtual addresses but not necessarily,james,,,MEPC_INV_ADDR_CONV,"{NoInvAddrConv, Other}",MEPC_INV_ADDR_CONV,,,,,n/a,unreviewed (his individual draft),,UDB check: Invalid-address conversion on writes to mepc. UDB has no such parameter; our MNEPC_INVALID_ADDRESS_CONVERSION is the RNMI sibling.,parameter_definitions,Machine Mode,n/a,,,MEPC_INV_ADDR_CONV-TBD,"`mepc` can hold all valid virtual addresses but not necessarily all invalid virtual addresses. If an implementation needs to convert an invalid address into some other value that `mepc` can hold, how is this done? [%autowidth] !=== ! Value ! Definition ! NoInvAddrConv ! No conversion of invalid virtual addresses is performed ! Other ! Converts invalid virtual addresses in some unknown way !===","NoInvAddrConv, Other",,,,,
P045,mhartid value.,james,,,MHARTID,TBD,HART_ID,,,,,n/a,unreviewed (his individual draft),,UDB check: Jordan records platform.hartid as having no UDB parameter. Arguably platform rather than ISA; flagged rather than assumed.,parameter_definitions,Machine Mode,n/a,,,MHARTID-TBD,,uint,MXLEN,,,,
