adoc_file,line_number,excerpt,parameter_name,named,class,value_type,confidence,modal_signal,validation,tagged,refers_to_warl,in_intro_section,sw_keywords,notes
machine.adoc,878,"If `mtvec` is writable, the set of values the register may hold can vary by implementation.",MTVEC_MODES,yes,NORM_CSR_WARL,set,high,the set of values the register may hold can vary by implementation,KEEP,yes,no,no,,
machine.adoc,921,implementations can provide individual read/write bits within `medeleg` and `mideleg` to indicate that certain exceptions and interrupts should be processed directly by a lower privilege level.,MEDELEG_MIDELEG_IMPLEMENTED,no,NORM_DIRECT,binary,high,implementations can provide individual read/write bits,KEEP,yes,no,no,,newly discovered
machine.adoc,944,"An implementation can choose to subset the delegatable traps, with the supported delegatable bits found by writing one to every bit location, then reading back the value in `medeleg` or `mideleg` to see which bit positions hold a one.",MEDELEG_WARL_BITS,no,NORM_CSR_WARL,bitmask,high,An implementation can choose to subset the delegatable traps,KEEP,yes,no,no,,newly discovered
machine.adoc,1009,Each individual bit in register `mip` may be writable or may be read-only.,MIP_WRITABLE_BITS,no,NORM_CSR_RW,bitmask,high,may be writable or may be read-only,KEEP,yes,yes,no,,"newly discovered; likely duplicate: WARL field, usually covered by CSR field model"
machine.adoc,1163,"In harts with U-mode, the `mcounteren` must be implemented, but all fields are *WARL* and may be read-only zero, indicating reads to the corresponding counter will cause an illegal-instruction exception when executing in a less-privileged mode.",MCOUNTENABLE_EN,yes,NORM_CSR_RW,bitmask,high,may be read-only zero,KEEP,yes,yes,no,will,"likely duplicate: WARL field, usually covered by CSR field model"
machine.adoc,1237,"`mepc` is a *WARL* register that must be able to hold all valid virtual addresses. It need not be capable of holding all possible invalid addresses. Prior to writing `mepc`, implementations may convert an invalid address into some other invalid address that `mepc` is capable of holding.",MEPC_INVALID_ADDR_CONVERSION,no,NORM_CSR_WARL,binary,medium,implementations may convert an invalid address into some other invalid address,KEEP,no,yes,no,,"newly discovered; likely duplicate: WARL field, usually covered by CSR field model; excerpt not verbatim in spec — verify wording"
machine.adoc,1285,The priority of any custom synchronous exceptions is implementation-defined.,CUSTOM_EXCEPTION_PRIORITY,no,NORM_DIRECT,enum,medium,is implementation-defined,KEEP,no,no,no,,newly discovered
machine.adoc,1374,The `mtval` register can optionally also be used to return the faulting instruction bits on an illegal-instruction exception (`mepc` points to the faulting instruction in memory).,REPORT_ENCODING_IN_MTVAL_ON_ILLEGAL_INSTRUCTION,yes,NORM_DIRECT,binary,high,can optionally also be used to return the faulting instruction bits,KEEP,yes,no,no,,
machine.adoc,1424,it may be zero to indicate the configuration data structure does not exist or that an alternative mechanism must be used to locate it.,CONFIG_PTR_ADDRESS,yes,NORM_DIRECT,value,high,it may be zero to indicate the configuration data structure does not exist,KEEP,yes,no,no,,
machine.adoc,1455,"If S-mode is not supported, or if `satp`.MODE is read-only zero (always Bare), the implementation may make FIOM read-only zero.",MENVCFG_FIOM_READONLY,no,NORM_CSR_RW,binary,high,the implementation may make FIOM read-only zero,KEEP,yes,no,no,,newly discovered
machine.adoc,1535,"If the A extension is supported, the __x__RET instruction is allowed to clear any outstanding LR address reservation but is not required to.",XRET_CLEARS_LR_RESERVATION,no,NORM_DIRECT,binary,high,is allowed to clear any outstanding LR address reservation but is not required to,KEEP,yes,no,no,,newly discovered
machine.adoc,1543,"WFI is available in all privileged modes, and optionally available to U-mode.",WFI_U_MODE,no,NORM_DIRECT,binary,high,optionally available to U-mode,KEEP,no,no,no,,newly discovered; excerpt not verbatim in spec — verify wording
machine.adoc,1609,The `mcause` values after reset have implementation-specific interpretation,MCAUSE_RESET_VALUE,no,NORM_DIRECT,value,medium,implementation-specific interpretation,KEEP,yes,no,no,,newly discovered
machine.adoc,1631,The values written to `mcause` on an NMI are implementation-defined.,NMI_MCAUSE_VALUE,no,NORM_DIRECT,value,high,are implementation-defined,KEEP,yes,no,no,,newly discovered
machine.adoc,1770,"Implementations may raise access-fault exceptions instead of address-misaligned exceptions for some misaligned accesses, indicating the instruction should not be emulated by a trap handler.",PMA_MAG_FAULT_TYPE,no,NORM_DIRECT,binary,high,Implementations may raise access-fault exceptions instead of address-misaligned exceptions,KEEP,yes,no,no,,newly discovered
machine.adoc,1793,"The size of these naturally aligned power-of-2 regions is implementation-defined, but, for systems with page-based virtual memory, must not exceed the smallest supported page size.",PMA_IDEMPOTENT_IMPLICIT_READ_SIZE,no,NORM_DIRECT,range,high,is implementation-defined,KEEP,yes,no,no,,newly discovered
machine.adoc,1812,"Optionally, PMP checks may additionally apply to M-mode accesses, in which case the PMP registers themselves are locked, so that even M-mode software cannot change them until the hart is reset.",PMP_MMODE_LOCKING,no,NORM_DIRECT,binary,high,"Optionally, PMP checks may additionally apply to M-mode accesses",KEEP,yes,no,no,software,newly discovered
machine.adoc,3352,"Optionally, PMP checks may additionally apply to M-mode accesses, in which case the PMP registers themselves are locked, so that even M-mode software cannot change them until the hart is reset.",PMP_MMODE_ENFORCEMENT,no,NORM_DIRECT,binary,high,"Optionally, PMP checks may additionally apply to M-mode accesses",KEEP,yes,no,no,software,newly discovered
machine.adoc,3364,"Up to 64 PMP entries are supported. Implementations may implement zero, 16, or 64 PMP entries; the lowest-numbered PMP entries must be implemented first.",NUM_PMP_ENTRIES,yes,NORM_DIRECT,range,high,"Implementations may implement zero, 16, or 64 PMP entries",KEEP,yes,no,no,,
machine.adoc,3366,All PMP CSR fields are *WARL* and may be read-only zero.,PMP_CSR_READ_ONLY_ZERO,no,NORM_CSR_RW,binary,high,may be read-only zero,KEEP,yes,yes,no,,"newly discovered; likely duplicate: WARL field, usually covered by CSR field model"
machine.adoc,3404,"Not all physical address bits may be implemented, and so the `pmpaddr` registers are *WARL*.",PHYS_ADDR_WIDTH,yes,NORM_CSR_WARL,range,high,Not all physical address bits may be implemented,KEEP,yes,yes,no,,"aligned via fuzzy_name to UDB PHYS_ADDR_WIDTH; likely duplicate: WARL field, usually covered by CSR field model"
priv-csrs.adoc,13,"an implementation may contain additional CSRs, accessible by some subset of the privilege levels using the CSR instructions described in Volume I.",ADDITIONAL_CSRS,no,NORM_DIRECT,binary,medium,may contain additional CSRs,KEEP,no,no,no,,newly discovered
priv-intro.adoc,148,Implementations might provide anywhere from 1 to 3 privilege modes trading off reduced isolation for lower implementation cost,NUM_PRIVILEGE_MODES,no,NORM_DIRECT,range,high,might provide anywhere from 1 to 3 privilege modes,KEEP,yes,no,yes,,newly discovered; from an introduction section (non-normative)
priv-intro.adoc,196,Implementations may also include a debug mode to support off-chip debugging and/or manufacturing test.,DEBUG_MODE_IMPLEMENTED,no,NORM_DIRECT,binary,high,may also include a debug mode,KEEP,no,no,yes,,newly discovered; from an introduction section (non-normative)
rnmi.adoc,68,"Prior to writing `mnepc`, implementations may convert an invalid address into some other invalid address that `mnepc` is capable of holding.",MNEPC_INVALID_ADDR_CONVERSION,no,NORM_CSR_WARL,binary,high,implementations may convert an invalid address into some other invalid address,KEEP,yes,no,no,,newly discovered
scalar-crypto.adoc,3697,"Implementations may implement `mseccfg` such that `[s,u]seed` is a read-only constant value `0`.",SSEED_USEED_WRITABLE,no,NORM_CSR_RW,binary,high,"may implement `mseccfg` such that `[s,u]seed` is a read-only constant value `0`",KEEP,no,no,no,,newly discovered
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_CORSWAPINH_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_CUSTOM_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_DIRCALLINH_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_DIRJMPINH_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_DIRLJMPINH_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_EXCINH_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_INDCALLINH_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_INDJMPINH_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_INDLJMPINH_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_INTRINH_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_MTE_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_NTBREN_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_RASEMU_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_RETINH_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_STE_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_TKBRINH_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,107,"All fields are optional except for M, S, U, and BPFRZ.  All unimplemented fields are read-only 0, while all implemented fields are writable.  If the Sscofpmf extension is implemented, LCOFIFRZ must be writable.",MCTRCTL_TRETINH_IMPLEMENTED,yes,NORM_CSR_RW,binary,high,"All fields are optional except for M, S, U, and BPFRZ",KEEP,yes,no,no,,
smctr.adoc,222,It is implementation-specific which DEPTH value(s) are supported.,CTR_SUPPORTED_DEPTHS,no,NORM_CSR_WARL,set,high,implementation-specific which DEPTH value(s) are supported,KEEP,yes,no,no,,newly discovered
smctr.adoc,330,The optional MISP bit is set by the hardware when the recorded transfer is an instruction whose target or taken/not-taken direction was mispredicted by the branch predictor. MISP is read-only 0 when not implemented.,CTR_MISP_IMPLEMENTED,no,NORM_CSR_RW,binary,high,optional MISP bit,KEEP,yes,no,no,,newly discovered
smctr.adoc,349,"The `ctrdata` register contains metadata for the recorded transfer. This register must be implemented, though all fields within it are optional. Unimplemented fields are read-only 0.",CTR_CTRDATA_TYPE_IMPLEMENTED,no,NORM_CSR_RW,binary,high,all fields within it are optional,KEEP,yes,no,no,,newly discovered
smctr.adoc,618,"The `ctrdata` register may optionally include a count of CPU cycles elapsed since the prior CTR record.  The elapsed cycle count value is represented by the CC field, which has a 12-bit mantissa component (Cycle Count Mantissa, or CCM) and a 4-bit exponent component (Cycle Count Exponent, or CCE).",CTR_CYCLE_COUNT_IMPLEMENTED,no,NORM_CSR_RW,binary,high,may optionally include a count of CPU cycles,KEEP,yes,no,no,,newly discovered
smctr.adoc,648,"An implementation that supports cycle counting must implement CCV and all CCM bits, but may implement 0..4 exponent bits in CCE. Unimplemented CCE bits are read-only 0.",CTR_CCE_WIDTH,no,NORM_CSR_RW,range,high,may implement 0..4 exponent bits in CCE,KEEP,yes,no,no,,newly discovered
smctr.adoc,672,CCV should additionally be cleared after any other implementation-specific scenarios where active cycles might not be counted in CtrCycleCounter.,CTR_CCV_CLEAR_SCENARIOS,no,NORM_DIRECT,set,medium,implementation-specific scenarios,KEEP,no,no,no,,newly discovered
smctr.adoc,693,"When the optional `__x__ctrctl`.RASEMU bit is implemented and set to 1, transfer recording behavior is altered to emulate the behavior of a return-address stack (RAS).",CTR_RASEMU_IMPLEMENTED,no,NORM_CSR_RW,binary,high,optional `__x__ctrctl`.RASEMU bit is implemented,KEEP,yes,no,no,,newly discovered
smstateen.adoc,97,"When a `stateen` CSR prevents access to state for a privilege mode, attempting to execute in that privilege mode an instruction that _implicitly_ updates the state without reading it may or may not raise an illegal-instruction or virtual-instruction exception.",STATEEN_IMPLICIT_UPDATE_EXCEPTION,no,NORM_DIRECT,binary,high,may or may not raise an illegal-instruction or virtual-instruction exception,KEEP,no,no,no,,newly discovered
smstateen.adoc,143,"Each standard-defined bit of a `stateen` CSR is WARL and may be read-only zero or one, subject to the following conditions.",STATEEN_BIT_ACCESS,no,NORM_CSR_RW,bitmask,high,may be read-only zero or one,KEEP,no,yes,no,,"newly discovered; likely duplicate: WARL field, usually covered by CSR field model"
smstateen.adoc,175,Bit 63 of each `mstateen` CSR may be read-only zero only if the hypervisor extension is not implemented and the matching supervisor-level `sstateen` CSR is all read-only zeros.,MSTATEEN_BIT63_RO,no,NORM_CSR_RW,binary,high,may be read-only zero only if,KEEP,yes,no,no,,newly discovered
supervisor.adoc,141,"When such a HINT is executed with XLEN < SXLEN and bits SXLEN..XLEN of the destination register not all equal to bit XLEN-1, it is implementation-defined whether bits SXLEN..XLEN of the destination register are unchanged or are overwritten with copies of bit XLEN-1.",HINT_SXLEN_DEST_REG_BEHAVIOR,no,NORM_DIRECT,binary,high,it is implementation-defined whether bits SXLEN..XLEN of the destination register are unchanged or are overwritten,KEEP,no,no,no,,newly discovered
supervisor.adoc,418,"Each standard interrupt type (SEI, STI, SSI, or LCOFI) may not be implemented, in which case the corresponding interrupt-pending and interrupt-enable bits are read-only zeros.",SIP_SIE_UNIMPL_INTERRUPTS,no,NORM_CSR_RW,bitmask,high,may not be implemented,KEEP,no,no,no,,newly discovered
supervisor.adoc,530,"`scounteren` must be implemented. However, any of the bits may be read-only zero, indicating reads to the corresponding counter will cause an exception when executing in U-mode. Hence, they are effectively *WARL* fields.",SCOUNTENABLE_EN,yes,NORM_CSR_RW,bitmask,high,any of the bits may be read-only zero,KEEP,no,yes,no,will,"likely duplicate: WARL field, usually covered by CSR field model; untagged + SW keywords (will) — likely clarification/SW requirement"
supervisor.adoc,617,The `stval` register can optionally also be used to return the faulting instruction bits on an illegal-instruction exception (`sepc` points to the faulting instruction in memory).,REPORT_ENCODING_IN_STVAL_ON_ILLEGAL_INSTRUCTION,yes,NORM_DIRECT,binary,high,can optionally also be used to return the faulting instruction bits,KEEP,no,no,no,,
supervisor.adoc,706,"If `satp`.MODE is read-only zero (always Bare), the implementation may make FIOM read-only zero.",SENVCFG_FIOM_ACCESS,no,NORM_CSR_RW,binary,high,the implementation may make FIOM read-only zero,KEEP,no,no,no,,newly discovered
supervisor.adoc,836,"Implementations are not required to support all MODE settings, and if `satp` is written with an unsupported MODE, the entire write has no effect; no fields in `satp` are modified.",SATP_MODE_BARE,yes,NORM_CSR_WARL,set,high,are not required to support all MODE settings,KEEP,no,no,no,,
