parameter_name,long_name,classification,classification_confidence,classification_reasoning,value_type,value_details,defined_by_extensions,defined_by_summary,has_requirements,num_csr_references,csr_names,spec_file,spec_line,spec_score,spec_is_normative,spec_in_note,spec_text,description
DCSR_STOPTIME_TYPE,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of dcsr.STOPTIME,enum,"values: ['read-only-0', 'read-only-1', 'rw']",Sdtrig,ext:Sdtrig,False,2,dcsr,priv-cfi.adoc,87,4,False,False,"transition to Debug Mode, a `pelp` bit is defined in the `dcsr` register.#","Implementation of dcsr.STOPTIME is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr.STOPTIME bit:
  * 'read-only-0': tied to 0
  * 'read-only-1': tied to 1
  * 'rw': read-write"
ELEN,TODO,NORM_DIRECT,high,Well-known architectural parameter 'ELEN',value,{'base': 'integer'},Zvl32b,ext:Zvl32b,False,0,,v-st-ext.adoc,24,9,True,False,". [#norm:vlen_param]#The number of bits in a single vector register, _VLEN_ {ge} ELEN, which must be a power of 2, and must be no greater than 2^16^.#",The maximum size in bits of a vector element that any operation can produce or consume.
FOLLOW_VTYPE_RESET_RECOMMENDATION,TODO,NORM_DIRECT,medium,Implementation behavioral choice parameter,binary,"choices: [True, False]",Zvl32b,ext:Zvl32b,False,6,"vl, vtype",v-st-ext.adoc,169,14,True,False,"NOTE: [#norm:vill_implicit_encoding_param]#A small implementation supporting ELEN=32 requires only seven bits of state in `vtype`: two bits for `ma` and `ta`, two bits for `vsew[1:0]` and three bits f","It is recommended that at reset, vtype.vill is set, the remaining bits in vtype are zero, and vl is set to zero.
If this parameter is set to true, this recommendation is followed. If it is false, at reset the respective fields
will be UNDEFINED_LEGAL."
FORCE_UPGRADE_CBO_INVAL_TO_FLUSH,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of menvcfg.CBIE,binary,"choices: [True, False]",Zicbom,ext:Zicbom,False,1,menvcfg,supervisor.adoc,913,20,False,False,"implemented, `CBIE` is read-only zero. Execution of `CBO.INVAL` in U-mode is","When true, an implementation prohibits setting `menvcfg.CBIE` == `11` such that all `cbo.inval`
instructions either trap (when `menvcfg.CBIE` == '00') or flush (when `menvcfg.CBIE` == '01').

When false, an implementation allows a true INVAL operation for `cbo.inval`, and thus supports
the setting `"
GSTAGE_MODE_BARE,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of hgatp.MODE,binary,"choices: [True, False]",H,ext:H,True,1,hgatp,hypervisor.adoc,1075,11,False,False,"is for `satp`. Instead, the fields of `hgatp` are *WARL* in the normal way,",Whether or not writing mode=Bare is supported in the `hgatp` register.
HCONTEXT_AVAILABLE,TODO,NORM_DIRECT,high,Feature/CSR existence parameter ('AVAILABLE' suffix),binary,"choices: [True, False]",Sdtrig,ext:Sdtrig,True,2,hcontext,smstateen.adoc,295,10,True,False,`hcontext` CSRs provided by the Sdtrig extension.# [#norm:hstateen0-context_op]#The CONTEXT bit in,Specifies if HCONTEXT is available
HCOUNTENABLE_EN,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of hcounteren.CY,bitmask,32-bit mask,H,ext:H,False,64,hcounteren,hypervisor.adoc,857,12,False,False,"When the CY, TM, IR, or HPM__n__ bit in the `hcounteren` register is","Indicates which counters can delegated via `hcounteren`

An unimplemented counter cannot be specified, i.e., if
HPM_COUNTER_EN[3] is false, it would be illegal to set
HCOUNTENABLE_EN[3] to true.

HCOUNTENABLE_EN[0:2] must all be false if `Zicntr` is not implemented.
HCOUNTENABLE_EN[3:31] must all be"
HPM_COUNTER_EN,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of scountovf.OF3,bitmask,32-bit mask,Sm,ext:Sm,False,1044,"mhpmcounter10, mhpmcounter10h, mhpmcounter11, mhpmcounter11h, mhpmcounter12, mhpmcounter12h, mhpmcounter13, mhpmcounter13h, mhpmcounter14, mhpmcounter14h, mhpmcounter15, mhpmcounter15h, mhpmcounter16, mhpmcounter16h, mhpmcounter17, mhpmcounter17h, mhpmcounter18, mhpmcounter18h, mhpmcounter19, mhpmcounter19h, mhpmcounter20, mhpmcounter20h, mhpmcounter21, mhpmcounter21h, mhpmcounter22, mhpmcounter22h, mhpmcounter23, mhpmcounter23h, mhpmcounter24, mhpmcounter24h, mhpmcounter25, mhpmcounter25h, mhpmcounter26, mhpmcounter26h, mhpmcounter27, mhpmcounter27h, mhpmcounter28, mhpmcounter28h, mhpmcounter29, mhpmcounter29h, mhpmcounter3, mhpmcounter30, mhpmcounter30h, mhpmcounter31, mhpmcounter31h, mhpmcounter3h, mhpmcounter4, mhpmcounter4h, mhpmcounter5, mhpmcounter5h, mhpmcounter6, mhpmcounter6h, mhpmcounter7, mhpmcounter7h, mhpmcounter8, mhpmcounter8h, mhpmcounter9, mhpmcounter9h, mhpmevent10, mhpmevent10h, mhpmevent11, mhpmevent11h, mhpmevent12, mhpmevent12h, mhpmevent13, mhpmevent13h, mhpmevent14, mhpmevent14h, mhpmevent15, mhpmevent15h, mhpmevent16, mhpmevent16h, mhpmevent17, mhpmevent17h, mhpmevent18, mhpmevent18h, mhpmevent19, mhpmevent19h, mhpmevent20, mhpmevent20h, mhpmevent21, mhpmevent21h, mhpmevent22, mhpmevent22h, mhpmevent23, mhpmevent23h, mhpmevent24, mhpmevent24h, mhpmevent25, mhpmevent25h, mhpmevent26, mhpmevent26h, mhpmevent27, mhpmevent27h, mhpmevent28, mhpmevent28h, mhpmevent29, mhpmevent29h, mhpmevent3, mhpmevent30, mhpmevent30h, mhpmevent31, mhpmevent31h, mhpmevent3h, mhpmevent4, mhpmevent4h, mhpmevent5, mhpmevent5h, mhpmevent6, mhpmevent6h, mhpmevent7, mhpmevent7h, mhpmevent8, mhpmevent8h, mhpmevent9, mhpmevent9h, scountovf",machine.adoc,1615,8,True,False,"[#norm:mcounteren_clr_ill_inst_exc]#When the CY, TM, IR, or HPM__n__ bit in the `mcounteren` register is","List of HPM counters that are enabled.
There is one entry for each hpmcounter.

The first three entries *must* be false (as they correspond to CY, IR, TM in, _e.g._ `mhmpcountinhibit`)
Index 3 in HPM_COUNTER_EN corresponds to mhpmcounter3.
Index 31 in HPM_COUNTER_EN corresponds to mhpmcounter31."
HPM_EVENTS,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of mhpmevent14.EVENT,set,set of integer,Sm,"ext:Sm AND {'param': {'anyOf': [{'name': 'HPM_COUNTER_EN', 'index': 3, 'equal': True}, {'na",False,29,"mhpmevent10, mhpmevent11, mhpmevent12, mhpmevent13, mhpmevent14, mhpmevent15, mhpmevent16, mhpmevent17, mhpmevent18, mhpmevent19, mhpmevent20, mhpmevent21, mhpmevent22, mhpmevent23, mhpmevent24, mhpmevent25, mhpmevent26, mhpmevent27, mhpmevent28, mhpmevent29, mhpmevent3, mhpmevent30, mhpmevent31, mhpmevent4, mhpmevent5, mhpmevent6, mhpmevent7, mhpmevent8, mhpmevent9",machine.adoc,1581,8,False,False,"`mhpmevent3`-`mhpmevent31`, are 64-bit *WARL* registers that control which",List of defined event numbers that can be written into mhpmeventN
HSTATEEN_AIA_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'hstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","H, Ssaia, Ssstateen",ext:Ssaia AND ext:H AND ext:Ssstateen,True,0,,smstateen.adoc,288,4,True,False,[#norm:mstateen0-aia_op]#The AIA bit in `mstateen0` controls access to all state introduced by the,"Behavior of the hstateen0.AIA bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
HSTATEEN_CONTEXT_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'hstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","H, Sdtrig, Ssstateen",ext:Sdtrig AND ext:H AND ext:Ssstateen,True,0,,machine.adoc,3371,5,True,False,"context-switch time. [#norm:pmp_cfg_rv32_layout]#For RV32, sixteen CSRs, `pmpcfg0`–`pmpcfg15`, hold","Behavior of the hstateen0.CONTEXT bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
HSTATEEN_CSRIND_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'hstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","H, Sscsrind, Ssstateen",ext:Sscsrind AND ext:H AND ext:Ssstateen,True,0,,smstateen.adoc,271,5,True,False,"[#norm:mstateen0-csrind_op]#The CSRIND bit in `mstateen0` controls access to the `siselect`, `sireg*`,","Behavior of the hstateen0.CSRIND bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
HSTATEEN_ENVCFG_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'hstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","H, Ssstateen",ext:H(~> 1.0) AND ext:Ssstateen(~> 1.0),True,0,,smstateen.adoc,267,5,True,False,"[#norm:mstateen0-envcfg_op]#The ENVCFG bit in `mstateen0` controls access to the `henvcfg`, `henvcfgh`,","Behavior of the hstateen0.ENVCFG bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
HSTATEEN_IMSIC_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'hstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","H, Ssaia, Ssstateen",ext:Ssaia AND ext:H AND ext:Ssstateen,True,0,,smstateen.adoc,277,5,True,False,"[#norm:mstateen0-imsic_op]#The IMSIC bit in `mstateen0` controls access to the IMSIC state, including","Behavior of the hstateen0.IMSIC bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
HSTATEEN_JVT_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'hstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","H, Ssstateen, Zcmt",ext:Zcmt AND ext:H AND ext:Ssstateen,True,0,,zc.adoc,2341,4,True,False,"[#norm:Zcmt_entry_sz]#The base of the table is in the jvt CSR (see <<csrs-jvt>>), each table entry is XLEN bits.#","Behavior of the hstateen0.JVT bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
HW_MSTATUS_FS_DIRTY_UPDATE,TODO,SW_RULE,medium,Hardware update behavior (HW_ prefix) — software-deterministic with correct fencing,enum,"values: ['never', 'precise', 'imprecise']","F, Sm",ext:F AND ext:Sm,False,1,mstatus,v-st-ext.adoc,3313,26,True,False,[#norm:mstatus-FS_off_V_fp_ill]#If the floating-point unit status field `mstatus.FS` is `Off` then any,"Indicates whether or not hardware will write to `mstatus.FS`

Values are:
[separator=""!""]
!===
h! never  ! Hardware never writes `mstatus.FS`
h! precise  ! Hardware writes `mstatus.FS` to the Dirty (3) state precisely when F registers are modified
h! imprecise ! Hardware writes `mstatus.FS` imprecis"
HW_MSTATUS_VS_DIRTY_UPDATE,TODO,SW_RULE,medium,Hardware update behavior (HW_ prefix) — software-deterministic with correct fencing,enum,"values: ['never', 'precise', 'imprecise']","Sm, Zvl32b",ext:Zvl32b AND ext:Sm,False,1,mstatus,v-st-ext.adoc,107,27,False,False,"If `mstatus.VS` is Dirty, `mstatus.SD` is 1;","Indicates whether or not hardware will write to `mstatus.VS`

Values are:
[separator=""!""]
!===
h! never  ! Hardware never writes `mstatus.VS`
h! precise  ! Hardware writes `mstatus.VS` to the Dirty (3) state precisely when V registers are modified
h! imprecise ! Hardware writes `mstatus.VS` imprecis"
IGNORE_INVALID_VSATP_MODE_WRITES_WHEN_V_EQ_ZERO,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of vsatp.MODE,binary,"choices: [True, False]",H,ext:H,False,3,vsatp,hypervisor.adoc,1416,9,False,False,"ignored as it is for `satp`, or the fields of `vsatp` are treated as *WARL* in","Whether writes from M-mode, U-mode, or S-mode to vsatp with an illegal mode setting are
ignored (as they are with satp), or if they are treated as WARL, leading to undpredictable
behavior."
IMPRECISE_VECTOR_TRAP_SETTABLE,TODO,NORM_DIRECT,low,No strong signals; defaulting to direct normative parameter,binary,"choices: [True, False]",Zvl32b,ext:Zvl32b,False,0,,a-st-ext.adoc,424,3,True,False,"[#norm:amo_release_consistency]#To help implement multiprocessor synchronization, the AMOs optionally","Some profiles may provide a privileged configuration bit that selects
between precise and imprecise vector trap behavior, allowing flexibility
in how traps and partial updates are reported."
IMP_ID_VALUE,Vendor-specific implementation ID in `mimpid`,NORM_DIRECT,high,Well-known architectural parameter 'IMP_ID_VALUE',value,{'ref': 'schema_defs.json#/$defs/uint64'},Sm,ext:Sm AND param:MIMPID_IMPLEMENTED(equal=True),True,1,mimpid,machine.adoc,335,5,False,False,==== Machine Implementation ID (`mimpid`) Register,A unique encoding of the version of the processor implementation.
JVT_BASE_MASK,Mask representing the implemented bits of jvt.BASE,NORM_CSR_WARL,high,Referenced in sw_write() of jvt.BASE,range,[64..576460752303423487],Zcmt,ext:Zcmt AND param:JVT_BASE_TYPE(equal=mask),True,1,jvt,b-st-ext.adoc,103,8,True,False,"[#norm:zba_slli_uw_function]#While the shift and add instructions are limited to a maximum left shift of 3, the slli instruction (from the base ISA) can be used to perform similar shifts for indexing ","Mask representing the implemented bits of jvt.BASE.
Includes the implicitly-zero bits of jvt.BASE, so JVT_BASE_MASK[5:0] must always be 0."
JVT_BASE_TYPE,Type of the jvt.BASE CSR field,NORM_CSR_WARL,high,Referenced in sw_write() of jvt.BASE,binary,"choices: ['mask', 'custom']",Zcmt,ext:Zcmt,False,1,jvt,b-st-ext.adoc,103,10,True,False,"[#norm:zba_slli_uw_function]#While the shift and add instructions are limited to a maximum left shift of 3, the slli instruction (from the base ISA) can be used to perform similar shifts for indexing ","Type of the jvt.BASE CSR field. One of:

* mask: jvt.BASE contains one or more implemented bits, which are indicated by JVT_BASE_MASK.
* custom: Custom behavior. Will cause hart to enter 'unpredictable' state on a write to jvt.BASE."
JVT_READ_ONLY,Whether or not the JVT CSR is read-only,NORM_CSR_WARL,high,Referenced in sw_write() of jvt.MODE,binary,"choices: [True, False]",Zcmt,ext:Zcmt,False,3,jvt,zc.adoc,2341,6,True,False,"[#norm:Zcmt_entry_sz]#The base of the table is in the jvt CSR (see <<csrs-jvt>>), each table entry is XLEN bits.#","If Zcmt is implemented, JVT is implemented, but can contain a read-only value"
LEGAL_VSTART,TODO,NORM_DIRECT,low,No strong signals; defaulting to direct normative parameter,enum,"values: ['1_stride', '2_stride', '4_stride', 'custom']",Zvl32b,ext:Zvl32b,False,0,,calling-convention.adoc,22,7,False,False,"(`v0`-`v31`, `vl`, `vtype`) and `vstart` to become unspecified.","Implementations may raise illegal-instruction exceptions for vector
instructions that specify a `vstart` value the implementation can never
produce under the same `vtype` configuration (e.g., due to restrictions
on supported strides or alignments)."
LRSC_FAIL_ON_NON_EXACT_LRSC,TODO,NORM_DIRECT,medium,Load-reserved/store-conditional behavior parameter,binary,"choices: [True, False]",Zalrsc,ext:Zalrsc,False,0,,a-st-ext.adoc,169,5,True,False,[#norm:sc_addr_not_in_reservation_fail]#The SC must fail if the address is not within the reservation set of the,"Whether or not a Store Conditional fails if its physical address and size do not
exactly match the physical address and size of the last Load Reserved in program order
(independent of whether or not the SC is in the current reservation set)"
LRSC_FAIL_ON_VA_SYNONYM,TODO,NORM_DIRECT,medium,Load-reserved/store-conditional behavior parameter,binary,"choices: [True, False]",Zalrsc,ext:Zalrsc,False,0,,a-st-ext.adoc,76,9,True,False,SC.W instruction invalidates any reservation held by this hart.# [#norm:lr_sc_rv64]#LR.D and,"Whether or not an `sc.l`/`sc.d` will fail if its VA does not match the VA of the prior
`lr.l`/`lr.d`, even if the physical address of the SC and LR are the same"
LRSC_MISALIGNED_BEHAVIOR,TODO,NORM_DIRECT,medium,Load-reserved/store-conditional behavior parameter,enum,"values: ['always raise misaligned exception', 'always raise access fault', 'custom']",Zalrsc,ext:Zalrsc,False,0,,a-st-ext.adoc,76,14,True,False,SC.W instruction invalidates any reservation held by this hart.# [#norm:lr_sc_rv64]#LR.D and,"What to do when an LR/SC address is misaligned and MISALIGNED_AMO == false.

  * 'always raise misaligned exception': self-explainitory
  * 'always raise access fault': self-explainitory
  * 'custom': Custom behavior; misaligned LR/SC may sometimes raise a misaligned exception and sometimes raise a "
LRSC_RESERVATION_STRATEGY,TODO,NORM_DIRECT,medium,Load-reserved/store-conditional behavior parameter,enum,"values: ['reserve naturally-aligned 64-byte region', 'reserve naturally-aligned 128-byte region', 'reserve exactly enough to cover the access', 'custom']",Zalrsc,ext:Zalrsc,False,0,,a-st-ext.adoc,76,21,True,False,SC.W instruction invalidates any reservation held by this hart.# [#norm:lr_sc_rv64]#LR.D and,"Strategy used to handle reservation sets.

  * ""reserve naturally-aligned 64-byte region"": Always reserve the 64-byte block containing the LR/SC address
  * ""reserve naturally-aligned 128-byte region"": Always reserve the 128-byte block containing the LR/SC address
  * ""reserve exactly enough to cove"
MARCHID_IMPLEMENTED,Whether or not the `marchid` CSR is implemented.,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,machine.adoc,303,10,False,False,The combination of `mvendorid` and `marchid` should uniquely identify the type of hart microarchitecture that is implemented.,"* false: `marchid` is not implemented, and must be read-only-0
* true: `marchid` is implemented, and the value is determined by `ARCH_ID_VALUE`"
MCID_WIDTH,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of srmcfg.MCID,range,[1..12],Ssqosid,ext:Ssqosid,False,1,srmcfg,supervisor.adoc,2653,10,True,False,[#norm:Ssqosid_srmcfg_csr_applies_to_all_modes]#The `RCID` and `MCID` configured in the `srmcfg` CSR apply to all privilege,"Number of bits used for the Monitoring Counter ID field (MCID).
Default is 12."
MCONTEXT_AVAILABLE,TODO,NORM_DIRECT,high,Feature/CSR existence parameter ('AVAILABLE' suffix),binary,"choices: [True, False]",Sdtrig,ext:Sdtrig,False,2,mcontext,priv-csrs.adoc,1016,6,False,False,`mcontext`,Specifies if MCONTEXT is available
MCOUNTENABLE_EN,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of mcounteren.CY,bitmask,32-bit mask,Sm,ext:Sm,True,62,mcounteren,machine.adoc,1656,13,True,False,"[#norm:mcounteren_flds_mandatory_warl]#In harts with U-mode, the `mcounteren` must be","Indicates which counters can be delegated via `mcounteren`.

An unimplemented counter cannot be specified, i.e., if
HPM_COUNTER_EN[3] is false, it would be illegal to set
MCOUNTENABLE_EN[3] to true.

MCOUNTENABLE_EN[0:2] must all be false if `Zicntr` is not implemented.
MCOUNTENABLE_EN[3:31] must al"
MCTRCTL_CORSWAPINH_IMPLEMENTED,mctrctl.CORSWAPINH implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.CORSWAPINH is implemented.

When not implemented mctrctl.CORSWAPINH will be read-only-zero."
MCTRCTL_CUSTOM_IMPLEMENTED,mctrctl.CUSTOM implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.CUSTOM is implemented.

When not implemented mctrctl.CUSTOM will be read-only-zero."
MCTRCTL_DIRCALLINH_IMPLEMENTED,mctrctl.DIRCALLINH implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.DIRCALLINH is implemented.

When not implemented mctrctl.DIRCALLINH will be read-only-zero."
MCTRCTL_DIRJMPINH_IMPLEMENTED,mctrctl.DIRJMPINH implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.DIRJMPINH is implemented.

When not implemented mctrctl.DIRJMPINH will be read-only-zero."
MCTRCTL_DIRLJMPINH_IMPLEMENTED,mctrctl.DIRLJMPINH implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.DIRLJMPINH is implemented.

When not implemented mctrctl.DIRLJMPINH will be read-only-zero."
MCTRCTL_EXCINH_IMPLEMENTED,mctrctl.EXCINH implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.EXCINH is implemented.

When not implemented mctrctl.EXCINH will be read-only-zero."
MCTRCTL_INDCALLINH_IMPLEMENTED,mctrctl.INDCALLINH implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.INDCALLINH is implemented.

When not implemented mctrctl.INDCALLINH will be read-only-zero."
