parameter_name,rule,duplicate_of,reasoning
PMA_IDEMPOTENT_IMPLICIT_READ_SIZE,unspecified,,"The size is stated to be 'implementation-defined' with no finite enumerable set of legal values, so it cannot be certified as a parameter."
PMP_MMODE_LOCKING,existing_mechanism,,PMP locking behavior for M-mode is already described by the PMP lock mechanism (pmpcfg.L bit) and is not a new independent architectural parameter distinct from PMP_MMODE_ENFORCEMENT; both candidates describe the same optional feature from the same excerpt.
PMP_CSR_READ_ONLY_ZERO,warl_covered,,"This is a plain restatement that PMP CSR fields are WARL and may be read-only zero, which is already covered by the CSR field WARL model and subsumed by NUM_PMP_ENTRIES (zero entries implies read-only-zero fields)."
ADDITIONAL_CSRS,unspecified,,The set of additional implementation-specific CSRs is open-ended and not finite or enumerable in a certifiable way.
NUM_PRIVILEGE_MODES,duplicate,MUTABLE_MISA_S,"The number of supported privilege modes is already implicitly captured by the combination of MUTABLE_MISA_S and MUTABLE_MISA_U (presence of S and U modes), making this a duplicate concept already covered in UDB."
DEBUG_MODE_IMPLEMENTED,intro,,This is introductory/overview text stating that debug mode may optionally exist; it is non-normative and does not define a certifiable parameter with enumerable legal values.
MNEPC_INVALID_ADDR_CONVERSION,unspecified,,The conversion of an invalid address to 'some other invalid address' is intentionally unconstrained — the result is unspecified and not verifiable against a finite enumerable set of legal values.
CTR_CTRDATA_TYPE_IMPLEMENTED,intro,,"This is a general statement that ctrdata fields are optional and unimplemented ones are read-only-0; it is an umbrella description rather than a specific certifiable parameter, and the individual fields should each be their own parameters."
CTR_CCV_CLEAR_SCENARIOS,unspecified,,"Implementation-specific scenarios where CCV is cleared are intentionally unconstrained and not enumerable, making this unspecified behavior that cannot be certified."
STATEEN_IMPLICIT_UPDATE_EXCEPTION,unspecified,,The 'may or may not raise an exception' phrasing is intentionally unconstrained behavior that cannot be verified or certified as a parameter.
STATEEN_BIT_ACCESS,warl_covered,,"This is a generic restatement of the WARL nature of stateen CSR bits, already captured by the CSR field model and the existing per-bit MSTATEEN/HSTATEEN/SSTATEEN parameters."
SIP_SIE_UNIMPL_INTERRUPTS,warl_covered,,Whether individual standard interrupt types are implemented and their corresponding sip/sie bits are read-only zero is already captured by the CSR field WARL model and existing interrupt implementation parameters.
SVPBMT_ADDITIONAL_PMA_OVERRIDE,unspecified,,"The candidate describes an open-ended, unspecified set of additional PMA overrides that implementations 'may' apply, with no finite enumerable set of legal values to certify."
ZALASR_MISALIGNED_ATOMICITY_GRANULE_PMA,references_existing,MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE,This merely references the misaligned atomicity granule PMA mechanism already captured by MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE; it adds no new certifiable parameter.
WRS_STO_TIMEOUT_DURATION,unspecified,,"The timeout duration is described as 'implementation-defined' with no finite enumerable set of legal values or testable units, making it uncertifiable."
WRS_NTO_TW_TIMEOUT_LIMIT,unspecified,,"The bounded time limit is 'implementation-specific' with no finite enumerable set of legal values or testable units, making it uncertifiable."
WRS_NTO_VTW_TIMEOUT_LIMIT,unspecified,,"Like WRS_NTO_TW_TIMEOUT_LIMIT, the bounded time limit is 'implementation-specific' with no finite enumerable set of legal values or testable units."
PM_EXTENSIONS_SUPPORTED,unspecified,,Supporting 'an arbitrary subset' of pointer-masking extensions is not a finite enumerable certifiable parameter without a defined closed set of extension options and their PMLEN ranges.
XENVCFG_CMO_LEGAL_VALUES,sw_or_clarification,,"This is a software clarification directing software to use the discovery mechanism to determine legal values, not a new implementer hardware choice beyond what the WARL CSR field model already captures."
MSTATUS_FS_NO_DIRTY_TRACK,duplicate,MSTATUS_FS_LEGAL_VALUES,"Whether dirty tracking is absent is already captured by MSTATUS_FS_LEGAL_VALUES, which encodes exactly which FS states are legal (Off and Dirty only when tracking is absent)."
WFI_NOP_BEHAVIOR,unspecified,,"The spec intentionally leaves WFI resume conditions unconstrained (any reason), so this is unspecified behavior rather than a finite enumerable parameter."
MNSTATUS_MNPELP_IMPLEMENTED,existing_mechanism,,"MNPELP existence is fully determined by whether Zicfilp is implemented; this is a clarification of how an existing extension interaction works, not an independent parameter."
MCYCLECFG_UNIMPLEMENTED_MODE_BITS,warl_covered,,"This is a restatement of standard WARL behavior for CSR bits corresponding to unimplemented privilege modes, already covered by the CSR field model."
CYCLE_MODE_TRANSITION_REPORTING_CYCLE,unspecified,,"Which cycle reports a mode transition is intentionally unconstrained and may differ per occurrence, making it unspecified behavior rather than a certifiable parameter."
MHPMEVENT_INH_BITS_IMPLEMENTED,existing_mechanism,,"This is a clarification of how existing INH bits behave when a privilege mode is not implemented — it describes a consequence of the privilege mode implementation choice, not a new independently certifiable parameter."
SATP_MODE_SV39_SV48_SV57,duplicate,SATP_MODE_BARE,"The supported satp MODE values (Sv39, Sv48, Sv57) are already captured by the SATP_MODE_BARE parameter and the existing UDB CSR field WARL model for satp.MODE; individual translation mode support is covered by the existing SV39/SV48/SV57 translation parameters."
WRS_SPURIOUS_WAKEUP,unspecified,,Permitting occasional spurious wakeup termination for 'any reason' is intentionally unconstrained implementation-defined behavior with no finite enumerable set of legal values to certify.
ZCMP_BUS_FAULT_HANDLING,unspecified,,"This is platform-defined behavior with no finite enumerable set of verifiable options specified in the architecture, making it uncertifiable as an architectural parameter."
JVT_MODE_SUPPORTED,warl_covered,JVT_BASE_TYPE,"This is a plain restatement that jvt.mode is WARL, already covered by the CSR field WARL model; the existing JVT_BASE_TYPE and JVT_READ_ONLY parameters capture the relevant jvt implementation choices."
PM_RV32_WARL_BEHAVIOR,existing_mechanism,PMLEN,"This describes the consequence of WARL semantics for pointer masking on RV32 (where PMLEN is effectively fixed), which is already captured by the existing PMLEN parameter and standard WARL field behavior."
PMLEN_PER_MODE,duplicate,PMLEN,"The per-privilege-mode supported values of PMLEN are already captured by the existing PMLEN parameter, which covers the implementation choice of pointer masking length."
PMLEN_ILLEGAL_WARL,warl_covered,,"This merely restates that illegal writes to pointer masking enable bits follow WARL semantics, which is already covered by the general CSR field model and not a new enumerable parameter."
MIDELEG_RO1_LOWER_LEVEL,warl_covered,,"This describes an existing WARL/read-only-1 mechanism for mideleg bits without defining a finite, enumerable set of which bits are affected, making it non-certifiable as a standalone parameter."
UXLEN_LEGAL_VALUES,duplicate,UXLEN,The set of supported XLENs in U-mode is already captured by the existing UXLEN parameter; the WARL framing here describes the same architectural concept.
SSTATUS_SUM_ACCESS,existing_mechanism,,"This is a derived consequence of satp.MODE being read-only 0 (already captured by SATP_MODE_BARE), not an independent implementer choice requiring a new parameter."
ZILSD_NATURALLY_ALIGNED_ATOMIC,unspecified,,The 'might not be performed atomically' phrasing describes an intentionally unconstrained outcome rather than a finite enumerable implementation choice that can be certified.
