section,parameter_name,class,value_type,modal_signal,adoc_file,line_number,norm_tag,tagged,refers_to_csr_field_value,refers_to_warl,cross_chapter_dup,excerpt,mentor_comment
2. Mentor-confirmed (V3),DELEGATABLE_EXCEPTIONS,NORM_CSR_WARL,bitmask,An implementation can choose to subset the delegatable traps,machine.adoc,1310,norm:medeleg_mideleg_warl,yes,yes,no,,"An implementation can choose to subset the delegatable traps, with the supported delegatable bits found by writing one to every bit location, then reading back the value in `medeleg` or `mideleg` to see which bit positions hold a one.",parameter: WARL behavior (RW or RO0; RO1 not legal)
2. Mentor-confirmed (V3),MIP_WRITABLE_BITS,NORM_CSR_RW,bitmask,may be writable or may be read-only,machine.adoc,1395,norm:mip_bits_wr_or_rdonly,yes,yes,yes,,Each individual bit in register `mip` may be writable or may be read-only.,parameter: WARL behavior (RW or RO0; RO1 not legal)
2. Mentor-confirmed (V3),PMPADDR_WARL_MASK,NORM_CSR_WARL,bitmask,Not all physical address bits may be implemented,machine.adoc,3395,norm:pmp_addr_warl,yes,no,yes,,"Not all physical address bits may be implemented, and so the `pmpaddr` registers are WARL.",parameter: WARL  (number of implemented address bits; conditional on or priv mode and xSATP.mode (VA vs. PA)
2. Mentor-confirmed (V3),MNEPC_INVALID_ADDRESS_CONVERSION,NORM_DIRECT,binary,implementations may convert an invalid address,rnmi.adoc,62,norm:mnepc_invalid_convert,yes,no,no,,"Prior to writing `mnepc`, implementations may convert an invalid address into some other invalid address that `mnepc` is capable of holding.","parameter: WARL behavior ( but depends on definition of ""invalid"". Implies implemented<full width.)"
2. Mentor-confirmed (V3),MSECCFG_SEED_BITS_RW,NORM_CSR_RW,binary,"may implement `mseccfg` such that `[s,u]seed` is a read-only constant value",scalar-crypto.adoc,3750,,no,yes,no,,"Implementations may implement `mseccfg` such that `[s,u]seed` is a read-only constant value `0`.",parameter: WARL behavior (RW or RO0; RO1 not legal)
2. Mentor-confirmed (V3),SCTRDEPTH_SUPPORTED_VALUES,NORM_CSR_WARL,set,implementation-specific which DEPTH value(s) are supported,smctr.adoc,189,norm:sctrdepth-depth_param,yes,no,no,,It is implementation-specific which DEPTH value(s) are supported.,"parameter: WARL behavior (range value, or set)"
2. Mentor-confirmed (V3),CTRTARGET_MISP_IMPLEMENTED,NORM_CSR_RW,binary,The optional MISP bit,smctr.adoc,295,norm:ctrtarget_misp,yes,no,yes,,The optional MISP bit is set by the hardware when the recorded transfer is an instruction whose target or taken/not-taken direction was mispredicted by the branch predictor. MISP is read-only 0 when not implemented.,"new WARL parameter behavior! (ReadOnly, but value is either fixed 0 or the the value of some *internal* status  bit)"
2. Mentor-confirmed (V3),CTR_CYCLE_COUNTING_SUPPORTED,NORM_DIRECT,binary,may optionally include a count of CPU cycles,smctr.adoc,612,norm:ctrdata_cc_supported_param,yes,no,no,,The `ctrdata` register may optionally include a count of CPU cycles elapsed since the prior CTR record.,parameter
2. Mentor-confirmed (V3),CTR_CCE_WIDTH,NORM_DIRECT,range,may implement 0..4 exponent bits in CCE,smctr.adoc,638,norm:ccounter_impl,yes,no,no,,"An implementation that supports cycle counting must implement CCV and all CCM bits, but may implement 0..4 exponent bits in CCE.",parameter (also in top-14 above)
2. Mentor-confirmed (V3),CTR_RASEMU_SUPPORTED,NORM_DIRECT,binary,When the optional `__x__ctrctl`.RASEMU bit is implemented,smctr.adoc,669,norm:ctrctl_rasemu_op,yes,no,no,,"When the optional `__x__ctrctl`.RASEMU bit is implemented and set to 1, transfer recording behavior is altered to emulate the behavior of a return-address stack (RAS).",parameter
2. Mentor-confirmed (V3),STATEEN_IMPLICIT_UPDATE_EXCEPTION,NORM_DIRECT,binary,may or may not raise an illegal-instruction or virtual-instruction exception,smstateen.adoc,103,,no,yes,no,,"When a `stateen` CSR prevents access to state for a privilege mode, attempting to execute in that privilege mode an instruction that _implicitly_ updates the state without reading it may or may not raise an illegal-instruction or virtual-instruction exception.",parameter (trap or not; which kind of trap is defined elsewhere)
2. Mentor-confirmed (V3),SSTATUS_UXL_ACCESS,NORM_CSR_RW,binary,an implementation may make UXL be a read-only field,supervisor.adoc,134,,no,no,yes,,"When SXLEN=64, it is a *WARL* field that encodes the current value of UXLEN. In particular, an implementation may make UXL be a read-only field whose value always ensures that UXLEN=SXLEN.","new WARL parameter behavior! (ReadOnly, but value includes the value of sother state bit)"
2. Mentor-confirmed (V3),HINT_SXLEN_BEHAVIOR,NORM_DIRECT,binary,it is implementation-defined whether bits SXLEN..XLEN of the destination register are unchanged or are overwritten,supervisor.adoc,149,,no,no,no,,"When such a HINT is executed with XLEN < SXLEN and bits SXLEN..XLEN of the destination register not all equal to bit XLEN-1, it is implementation-defined whether bits SXLEN..XLEN of the destination register are unchanged or are overwritten with copies of bit XLEN-1.",parameter
2. Mentor-confirmed (V3),SSTATUS_UBE_ACCESS,NORM_CSR_RW,binary,An implementation may make UBE be a read-only field,supervisor.adoc,221,,no,no,no,,An implementation may make UBE be a read-only field that always specifies the same endianness as for S-mode.,"new WARL parameter behavior! (ReadOnly, but value includes the value of some state  bit)"
2. Mentor-confirmed (V3),SIP_BITS_ACCESS,NORM_CSR_RW,bitmask,may be writable or may be read-only,supervisor.adoc,434,norm:sip_acc,yes,yes,yes,,Each individual bit in register `sip` may be writable or may be read-only.,"WARL parameter (RW, RdOnly0/1)"
2. Mentor-confirmed (V3),STANDARD_INTERRUPT_SUPPORT,NORM_CSR_RW,bitmask,may not be implemented,supervisor.adoc,520,,no,no,yes,,"Each standard interrupt type (SEI, STI, SSI, or LCOFI) may not be implemented, in which case the corresponding interrupt-pending and interrupt-enable bits are read-only zeros.","WARL parameter (RW, RdOnly0)"
2. Mentor-confirmed (V3),SENVCFG_FIOM_ACCESS,NORM_CSR_RW,binary,the implementation may make FIOM read-only zero,supervisor.adoc,1001,,no,yes,yes,"YES: machine.adoc, supervisor.adoc","If `satp`.MODE is read-only zero (always Bare), the implementation may make FIOM read-only zero.",WARL parameter: conditional on mode  (also in top-14 above)
2. Mentor-confirmed (V3),ZALASR_MISALIGNED_ATOMICITY_GRANULE,NORM_DIRECT,binary,optionally relaxes this alignment requirement,zalasr.adoc,23,norm:zalasr_misaligned_pma_relax,yes,no,no,"YES: a-st-ext.adoc, zalasr.adoc","The misaligned atomicity granule PMA, defined in Volume II of this manual, optionally relaxes this alignment requirement.",parameter: (existence & value of atomicity granule)
2. Mentor-confirmed (V3),CSR_STRONGLY_ORDERED,NORM_DIRECT,set,may define that accesses to certain CSRs are strongly ordered,zicsr.adoc,244,norm:csr_strongly_ordered,yes,no,no,,"The hardware platform may define that accesses to certain CSRs are strongly ordered, as defined by the Memory-Ordering PMAs section in Volume II of this manual.",parameter: memory ordering PMA value(s)
